,area,mean,major_axis,aspect_ratio
0,429,191.44055944055944,34.77923003414236,2.088249214578936
1,183,179.84699453551912,20.950530036869296,1.7821676861824665
2,658,205.6048632218845,30.19848422590625,1.0677335576721545
3,433,217.5150115473441,24.508790749585156,1.0619419062309543
4,472,213.03389830508473,31.08476574192099,1.5794149672551203
5,280,205.65714285714284,20.456703267018653,1.170901659684204
6,75,164.16,10.455950805204104,1.1469613486965544
7,271,176.0590405904059,22.270013595805494,1.4269220660194013
8,227,189.53303964757708,18.204772873013326,1.1442708241872808
9,27,149.33333333333334,12.678548278670085,4.413290407862993
10,494,190.0080971659919,26.121885258285065,1.0807482189508892
11,649,172.42526964560864,33.385906778814366,1.3392534491932708
12,96,166.41666666666666,12.546653692400314,1.2856284484845653
13,225,196.8,18.35737770149141,1.1676347223603412
14,448,209.03571428571428,26.27274937409412,1.2078696647362024
15,397,180.0705289672544,35.8698551687111,2.4639311877689365
16,513,194.86939571150097,27.860019629951697,1.1852160551607525
17,423,196.27423167848698,28.010713581438814,1.4528905796371254
18,268,200.77611940298507,21.468307192278967,1.345622529034433
19,349,190.64756446991404,22.917689441728474,1.174477777294804
20,158,183.69620253164558,15.666167580602863,1.214654995817695
21,406,187.21182266009853,23.865287484124742,1.0972738115023213
22,422,202.54028436018956,32.6668803721007,1.822781968443605
23,254,180.5984251968504,19.57228408508096,1.1827447877893447
24,503,198.6958250497018,33.24776088170501,1.6722674441432153
25,282,189.33333333333334,20.24089328396192,1.140040045469131
26,675,199.07555555555555,36.442424525819675,1.481211322174796
27,176,195.3181818181818,20.498286890054775,1.7847651444105208
28,358,197.7877094972067,23.711197998545444,1.232442323090015
29,542,198.760147601476,29.20849759104235,1.229996031887247
30,599,190.85141903171953,47.75343594118352,2.7822040694355814
31,7,146.28571428571428,3.0237157840738176,1.0801234497346432
32,635,193.22204724409448,40.67149576429511,1.948308300634769
33,192,181.83333333333334,16.77158509151243,1.1469054986004217
34,594,210.45117845117846,28.811758210746788,1.0929492420041105
35,19,150.31578947368422,6.09093638927516,1.5443998708238134
36,264,189.93939393939394,20.588317981737514,1.2563861562032623
37,896,198.59821428571428,54.585718360111564,2.5176107188659773
38,473,205.5137420718816,32.95587965343868,1.733399166098772
39,239,191.59832635983264,19.25126182233261,1.2143623579255745
40,166,184.09638554216866,16.687880082810175,1.313604604113308
41,408,179.80392156862746,26.756617235381256,1.3721310872409835
42,413,199.94188861985472,25.62619404615955,1.2437419217543584
43,239,188.21757322175733,18.831258251302966,1.1616558282030047
44,374,195.76470588235293,24.783530938010692,1.286850831904937
45,647,200.70479134466768,30.43602504101513,1.1160467855591116
46,378,208.23280423280423,23.49797787654461,1.1438962007889917
47,577,201.01213171577123,27.804675105924606,1.0480529840220176
48,66,188.36363636363637,16.651155953717762,3.121145903862968
49,169,181.53846153846155,17.042194757272345,1.3500508637679174
50,467,167.58886509635974,35.316994908476254,2.0667257060466917
51,612,220.0261437908497,32.401948630679065,1.3432560146442731
52,539,189.5213358070501,30.136816201114012,1.3217643030476374
53,203,199.96059113300493,24.67233590691917,2.2155817431792144
54,556,216.93525179856115,27.47945909705002,1.0625322148107983
55,850,197.9294117647059,41.32954022794983,1.5620702738211019
56,278,190.44604316546761,21.637743417307323,1.318402329219697
57,213,184.52582159624413,18.753879494637765,1.2961426892681374
58,79,184.81012658227849,18.287488895428375,3.173540405656371
59,88,182.72727272727272,21.673692014391232,4.0211927108411185
60,52,189.53846153846155,14.33510391276191,2.839824670663715
61,48,173.83333333333334,16.925659950161798,4.417296879102498
